method,omitted_year,quarters,gap,change_from_full
hp1600,1999,107,0.00927970155623438,0.00479879573720877
hp1600,2000,107,0.00456182063667166,0.00008091481764605
hp1600,2001,107,0.00738558717632528,0.00290468135729968
hp1600,2002,107,0.00618236560415143,0.00170145978512582
hp1600,2003,107,0.00514216214923327,0.00066125633020766
hp1600,2004,107,0.00644603429209214,0.00196512847306653
hp1600,2005,107,0.00860242230256417,0.00412151648353856
hp1600,2006,107,0.00664624179287571,0.00216533597385010
hp1600,2007,107,-0.00314568665594664,-0.00762659247497224
hp1600,2008,107,-0.00108922050931334,-0.00557012632833895
hp1600,2009,107,0.00346523394461415,-0.00101567187441146
hp1600,2010,107,0.00378547519058381,-0.00069543062844179
hp1600,2011,107,0.00504896936357257,0.00056806354454696
hp1600,2012,107,0.00450724034673692,0.00002633452771132
hp1600,2013,107,-0.00384883317455984,-0.00832973899358544
hp1600,2014,107,0.00134690437946218,-0.00313400143956343
hp1600,2015,107,0.00511897651940148,0.00063807070037588
hp1600,2016,107,0.00477934033728379,0.00029843451825818
hp1600,2017,107,0.00815007535556676,0.00366916953654116
hp1600,2018,107,0.00425673726307011,-0.00022416855595550
hp1600,2019,107,0.00698875624471567,0.00250785042569007
hp1600,2020,107,0.06003250630247882,0.05555160048345321
hp1600,2021,107,-0.02237133848192480,-0.02685224430095041
hp1600,2022,107,0.00915916682053047,0.00467826100150486
hp1600,2023,107,0.00593592445733731,0.00145501863831171
hp1600,2024,107,0.00494836817826930,0.00046746235924369
hp1600,2025,107,0.00536969742801166,0.00088879160898605
growth,1999,107,0.03799711023401155,0.00232938552945852
growth,2000,107,0.03935492847233689,0.00368720376778385
growth,2001,107,0.03838361103120011,0.00271588632664707
growth,2002,107,0.03576883514307214,0.00010111043851910
growth,2003,107,0.03783010806084137,0.00216238335628834
growth,2004,107,0.03581784283759365,0.00015011813304061
growth,2005,107,0.03543103940609127,-0.00023668529846177
growth,2006,107,0.03698194164725958,0.00131421694270654
growth,2007,107,0.03371670275324601,-0.00195102195130703
growth,2008,107,0.03598399251832492,0.00031626781377188
growth,2009,107,0.04148440926242965,0.00581668455787662
growth,2010,107,0.03666355302995254,0.00099582832539950
growth,2011,107,0.03994366593067620,0.00427594122612316
growth,2012,107,0.03551871724554435,-0.00014900745900868
growth,2013,107,0.03589880428569991,0.00023107958114688
growth,2014,107,0.02836382221731441,-0.00730390248723863
growth,2015,107,0.03733548157946391,0.00166775687491087
growth,2016,107,0.03616439899663922,0.00049667429208618
growth,2017,107,0.03638641904867042,0.00071869434411738
growth,2018,107,0.03687338900770027,0.00120566430314723
growth,2019,107,0.03483884332033149,-0.00082888138422155
growth,2020,107,0.12445228954864469,0.08878456484409165
growth,2021,107,-0.00679557283063994,-0.04246329753519298
growth,2022,107,0.03377991499159903,-0.00188780971295401
growth,2023,107,0.03761639079245870,0.00194866608790566
growth,2024,107,0.03541048928300788,-0.00025723542154516
growth,2025,107,0.03682330722594580,0.00115558252139276
hamilton,1999,107,0.01049456380717532,0.00605306315132347
hamilton,2000,107,0.00311436560125928,-0.00132713505459257
hamilton,2001,107,0.00496003830554633,0.00051853764969448
hamilton,2002,107,0.00342339376323578,-0.00101810689261607
hamilton,2003,107,0.00538276961530026,0.00094126895944841
hamilton,2004,107,0.00812198146389461,0.00368048080804277
hamilton,2005,107,0.00679163443425572,0.00235013377840388
hamilton,2006,107,0.00555193485991424,0.00111043420406239
hamilton,2007,107,0.00321758391942549,-0.00122391673642636
hamilton,2008,107,0.00739304951197368,0.00295154885612183
hamilton,2009,107,-0.02084222809915905,-0.02528372875501090
hamilton,2010,107,-0.01984343303452422,-0.02428493369037607
hamilton,2011,107,0.00394022762612912,-0.00050127302972273
hamilton,2012,107,0.00518399670298605,0.00074249604713420
hamilton,2013,107,-0.00841765389662381,-0.01285915455247566
hamilton,2014,107,0.00129173981377004,-0.00314976084208180
hamilton,2015,107,0.00737683927586752,0.00293533862001568
hamilton,2016,107,0.00535378750263535,0.00091228684678350
hamilton,2017,107,0.00763033904493872,0.00318883838908687
hamilton,2018,107,0.00013609996217204,-0.00430540069367981
hamilton,2019,107,0.00048357035374451,-0.00395793030210734
hamilton,2020,107,0.06071623236567678,0.05627473170982494
hamilton,2021,107,0.00480442879899229,0.00036292814314045
hamilton,2022,107,0.00197201356913988,-0.00246948708671197
hamilton,2023,107,0.01126361485859926,0.00682211420274741
hamilton,2024,107,0.01129202852970083,0.00685052787384898
hamilton,2025,107,0.01127177485064634,0.00683027419479449
