period,method,country_i,country_j,output_correlation,consumption_correlation,gap,gap_lower,gap_upper
full_common,hp1600,AUS,AUT,0.72657061705632586,0.66516717450812990,0.06140344254819596,-0.20631536379878013,0.30848255109929307
full_common,hp1600,AUS,CAN,0.75239807382046942,0.85399391535095193,-0.10159584153048251,-0.43521090473915258,0.01041854800058160
full_common,hp1600,AUS,CHE,0.59843347213206144,0.69492274292465062,-0.09648927079258918,-0.24445245712861463,0.05131219771777924
full_common,hp1600,AUS,DEU,0.57129724605553167,0.73417222868086152,-0.16287498262532984,-0.39910203326816385,0.01442578736033208
full_common,hp1600,AUS,FRA,0.71182340317055826,0.71259096554629553,-0.00076756237573727,-0.30017126876131905,0.11274311223968557
full_common,hp1600,AUS,GBR,0.78841099492286326,0.81906192263962119,-0.03065092771675793,-0.30495584648774082,0.04424983935179098
full_common,hp1600,AUS,ITA,0.70346557177887170,0.77464159519843667,-0.07117602341956497,-0.54232299962156527,0.04947957993586192
full_common,hp1600,AUS,JPN,0.57878699185223204,0.70542581149890593,-0.12663881964667389,-0.26903285171098890,0.12248824691464809
full_common,hp1600,AUS,USA,0.67994892493520209,0.74560472578155024,-0.06565580084634814,-0.25594394231480871,0.12047753927207441
full_common,hp1600,AUT,CAN,0.86449224421968884,0.85492717968688969,0.00956506453279915,-0.07580002474673629,0.28577230775636309
full_common,hp1600,AUT,CHE,0.84374053032385465,0.88287567704548797,-0.03913514672163332,-0.08998564548583629,0.31909993024933414
full_common,hp1600,AUT,DEU,0.85753805206102873,0.91690831249729887,-0.05937026043627014,-0.11138694482708385,0.18366451117019403
full_common,hp1600,AUT,FRA,0.89241062699779772,0.87310060142492107,0.01931002557287664,-0.03808855377080037,0.38600941127729665
full_common,hp1600,AUT,GBR,0.90525187902436322,0.88178077416294276,0.02347110486142046,-0.01308920160431264,0.39869927247441478
full_common,hp1600,AUT,ITA,0.90476372630823187,0.89934619770144564,0.00541752860678624,-0.04023280477558904,0.24123357562184328
full_common,hp1600,AUT,JPN,0.72484703428869324,0.58076629009572245,0.14408074419297079,0.01636760626748667,0.57391409996838250
full_common,hp1600,AUT,USA,0.77520867118350911,0.73294098506247085,0.04226768612103826,-0.12063559530159056,0.30808894031955236
full_common,hp1600,CAN,CHE,0.79968011655214866,0.84916284284905330,-0.04948272629690464,-0.11095824279438285,0.30852930732684869
full_common,hp1600,CAN,DEU,0.81062749733191475,0.87967695898017306,-0.06904946164825831,-0.22775680569594281,0.30539280794811047
full_common,hp1600,CAN,FRA,0.91624910944203930,0.90219238083103170,0.01405672861100760,-0.06205626767133354,0.16178976710069226
full_common,hp1600,CAN,GBR,0.89754823416378304,0.92846040611841851,-0.03091217195463547,-0.11739541004224943,0.06270292594727273
full_common,hp1600,CAN,ITA,0.86362016192765123,0.87180191888075609,-0.00818175695310486,-0.16570314620655155,0.11936007139292786
full_common,hp1600,CAN,JPN,0.78636049330742874,0.72866038288728541,0.05770011042014334,-0.03137142600485521,0.42833532146222053
full_common,hp1600,CAN,USA,0.85804724671808053,0.81209645753604365,0.04595078918203688,-0.02541041345645244,0.27195428592903642
full_common,hp1600,CHE,DEU,0.85181650821019084,0.91587108886326829,-0.06405458065307745,-0.13074373126613131,0.26174232457330665
full_common,hp1600,CHE,FRA,0.82627120852518299,0.87508268497627673,-0.04881147645109374,-0.09512187199214318,0.29392433759504250
full_common,hp1600,CHE,GBR,0.82008324134718402,0.87250951461349524,-0.05242627326631122,-0.10222976231788355,0.34849311160644819
full_common,hp1600,CHE,ITA,0.84630603647174096,0.84949133978857017,-0.00318530331682920,-0.06284340523947742,0.42889432864211041
